,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_max_error,split1_test_max_error,split2_test_max_error,split3_test_max_error,split4_test_max_error,mean_test_max_error,std_test_max_error,rank_test_max_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
36,0.43425641059875486,0.005721355522946725,0.008555316925048828,0.00023426600487023766,3,2,50,"{'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 50}",-439.000119047619,-288.5646825396825,-132.11783405483405,-133.9934468864469,-90.19002380952381,-216.77322126762124,130.0624000377974,31,-80.50585486847753,-43.06180471658467,-43.113377230421115,-17.86612259935545,-12.779534045391284,-39.465338692046004,24.03840687953022,37
37,0.8775615215301513,0.01018764939139181,0.016354751586914063,0.0004973538974069809,3,2,100,"{'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}",-440.90673412698413,-289.23735678210676,-129.7594411976912,-133.2452948162948,-89.41637950937951,-216.5130412864913,131.34277415707132,22,-80.77322833989416,-42.97656033177218,-42.60557372819715,-17.69857293406894,-13.328773830282026,-39.47654183284289,24.022668408935644,43
38,1.7441002368927,0.011276174266480327,0.030870866775512696,0.0009713149199459173,3,2,200,"{'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 200}",-442.10745923520926,-291.70097384559887,-126.35245274170268,-134.09088947163946,-86.41483612221113,-216.13332228327226,132.9610706207099,10,-80.7357502747715,-42.85439771699446,-41.50513764031467,-17.72128015311079,-13.042840948640722,-39.17188134676643,24.039198221691635,28
39,2.6308496952056886,0.04165854353822869,0.04681129455566406,0.0009580888189797629,3,2,300,"{'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 300}",-442.6682275132275,-292.7212487974988,-123.09076515151523,-135.45512503237504,-87.88776376401378,-216.36462605172605,133.26388745441457,16,-80.64566772955898,-42.43571050600042,-41.59399669389231,-17.7720051009007,-13.033485941572408,-39.09617319438496,23.990564559992784,19
40,3.5169615745544434,0.023999300950316205,0.06137504577636719,0.0013191501084025652,3,2,400,"{'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 400}",-442.7446921897547,-292.6523216991342,-127.10829608585871,-134.84919334138084,-88.60995115995118,-217.1928908952159,132.66275430898355,40,-80.6541392528452,-42.359955163656394,-41.837705969151145,-17.787344192443324,-13.020347577003271,-39.13189843101986,23.99683858850418,25
41,4.397242450714112,0.02119103560880725,0.0769880771636963,0.0021775796936575873,3,2,500,"{'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 500}",-442.2823549062049,-292.3438116605617,-129.53686507936513,-135.2466935619936,-89.3507905816406,-217.7521031579532,131.94978199349202,49,-80.64590954188616,-42.27674856247596,-41.89046333355706,-17.78032865362427,-13.016747313739298,-39.12203948105655,23.995012169310858,22
42,0.4359097480773926,0.004788476281506011,0.008490562438964844,0.00016131613191838678,3,3,50,"{'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 50}",-439.000119047619,-288.5646825396825,-132.11783405483405,-133.9934468864469,-90.19002380952381,-216.77322126762124,130.0624000377974,31,-80.50585486847753,-43.06180471658467,-43.113377230421115,-17.86612259935545,-12.779534045391284,-39.465338692046004,24.03840687953022,37
43,0.8784940719604493,0.010123755331367695,0.016232633590698244,0.0006723491789872772,3,3,100,"{'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 100}",-440.90673412698413,-289.23735678210676,-129.7594411976912,-133.2452948162948,-89.41637950937951,-216.5130412864913,131.34277415707132,22,-80.77322833989416,-42.97656033177218,-42.60557372819715,-17.69857293406894,-13.328773830282026,-39.47654183284289,24.022668408935644,43
44,1.779963445663452,0.01722618822913248,0.032256364822387695,0.0009880809452181274,3,3,200,"{'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 200}",-442.10745923520926,-291.70097384559887,-126.35245274170268,-134.09088947163946,-86.41483612221113,-216.13332228327226,132.9610706207099,10,-80.7357502747715,-42.85439771699446,-41.50513764031467,-17.72128015311079,-13.042840948640722,-39.17188134676643,24.039198221691635,28
45,2.7060701847076416,0.023686002694221654,0.04686408042907715,0.000648842142038767,3,3,300,"{'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 300}",-442.6682275132275,-292.7212487974988,-123.09076515151523,-135.45512503237504,-87.88776376401378,-216.36462605172605,133.26388745441457,16,-80.64566772955898,-42.43571050600042,-41.59399669389231,-17.7720051009007,-13.033485941572408,-39.09617319438496,23.990564559992784,19
